provision_version_id,instrument_id,stable_provision_id,effective_from,effective_to_exclusive,application_basis,source_uri,source_snapshot_hashes,source_snapshot_dates,exact_change_kind,semantic_change,actor_role,modality,true_effect,false_effect,reserved_decision_owner,evidence_contract,external_dependencies,rule_determinacy,authority_judgment_required,authority_judgment_kind,legal_linguistic_conflict,semantic_note
EU-2017-625:Art.42:temporary-method-designation:v1,EU-2017-625,EU-2017-625:Art.42:temporary-method-designation,2019-12-14,,Regulation 2017/625 application date,file:regulation/closure/eu/2017-625-official-controls.txt,2717feed2dd6f46d642e65db4555c0cfb033423551805d0d2a605c3f1e036531,2019-12-14,INITIAL,INITIAL,Competent authority / official or national reference laboratory as source allocated,may,"Temporarily designate the method for at most one year, renewable once, under the complete source tuple.","Without the complete grounds and safeguards, temporary designation is unavailable.",Source-allocated competent authority,"Exact designation act, scope, qualifications, accreditation/derogation, audit and event-time status evidence.",[],AUTHORITY_JUDGMENT_REQUIRED,YES,temporary-method grounds and safeguards,-,
EU-2017-625:Art.93(1):eu-reference-laboratory-designation:v1,EU-2017-625,EU-2017-625:Art.93(1):eu-reference-laboratory-designation,2019-12-14,,Regulation 2017/625 application date,file:regulation/closure/eu/2017-625-official-controls.txt,2717feed2dd6f46d642e65db4555c0cfb033423551805d0d2a605c3f1e036531,2019-12-14,INITIAL,INITIAL,Competent authority / official or national reference laboratory as source allocated,shall,Constitute EU-reference-laboratory status through the Commission implementing designation.,Scientific activity or national use does not establish EU-reference status; missing designation evidence remains unresolved.,Source-allocated competent authority,"Exact designation act, scope, qualifications, accreditation/derogation, audit and event-time status evidence.",[],DETERMINISTIC_RULE,NO,-,-,
EU-2021-1353:Art.3:plant-health-partial-accreditation-derogation:v1,EU-2021-1353,EU-2021-1353:Art.3:plant-health-partial-accreditation-derogation,2022-04-29,,Article 4 delayed application for Article 3,https://eur-lex.europa.eu/eli/reg_del/2021/1353/oj/eng,22f63cffe09e4c5e90a5260be35ec775235ab15c6b17dfd6315d7ce0cac30bd7,2021-08-13,INITIAL,INITIAL,Competent authority,may,Permit official-laboratory designation for the non-accredited plant-health methods only within the complete Article 3 tuple.,"If evidence proves any mandatory Article 3 condition absent, the partial-accreditation derogation is unavailable; missing evidence remains unresolved.",Competent authority,Written designation; non-accredited method; quality-assurance system; Annex III characterisation; accredited method and organism-group correspondence.,"[""EU-2017-625:Art.41:representative-method-derogation-authority""]",AUTHORITY_JUDGMENT_REQUIRED,YES,method-category and same-organism-group correspondence,-,"This is the exact delegated derogation. It does not waive written designation, quality assurance, method characterisation or same-organism-group accreditation."
IT-CFN-ORD-3-2023:Annex-I:territory-list:v1,IT-CFN-ORD-3-2023,IT-CFN-ORD-3-2023:Annex-I:territory-list,2023-07-22,,Ordinance 3/2023 Annex I list preserved in the official English courtesy translation; authentic Italian Annex I wording not held,,b55b9f5052d7105cc11001f284a80c3109c86551ca6f0aba8da8520d1408b5cb,2023-07-21,INITIAL,INITIAL,-,-,Resolve list membership through the source-native whole-territory or demarcated-area-exception route.,Proven nonmembership and missing source/version/geography evidence are separate. A territory inside an operative demarcated-area exception is not pest-free through this Annex route.,-,"Operative Annex I list version; exact region/province; exact point-in-time demarcated-area acts and geography for Lazio, Puglia or Toscana; any successor national list revision.",[],DETERMINISTIC_RULE,NO,-,Authentic Italian Annex I wording remains source-required where a linguistic issue changes meaning,The courtesy translation closes list membership. It does not replace authentic Italian wording where interpretation is disputed. Puglia pest-free status excludes its exact operative demarcated areas. [PRESERVED_PRE_MIGRATION_DETAIL: scope=IMPLEMENTATION_WITH_AUTHENTIC_LANGUAGE_GAP; semantic=NATIONAL_PEST_FREE_TERRITORY_TUPLE]
IT-CFN-ORD-3-2023:Art.1(1):pest-free-declaration:v1,IT-CFN-ORD-3-2023,IT-CFN-ORD-3-2023:Art.1(1):pest-free-declaration,2023-07-22,,Central Plant Health Service Ordinance 3/2023 effective the day after Gazzetta publication,https://www.gazzettaufficiale.it/atto/serie_generale/caricaArticolo?art.codiceRedazionale=23A04106&art.dataPubblicazioneGazzetta=2023-07-21&art.flagTipoArticolo=0&art.idArticolo=1&art.idGruppo=0&art.idSottoArticolo=1&art.idSottoArticolo1=10&art.progressivo=0&art.versione=1,9db60fce50fefebb0cc9fdca06804c0e308d8ed81b8c68c105b51780177e5da7,2023-07-21,INITIAL,INITIAL,Director of the Central Plant Health Service,-,Declare the Annex I areas of Italian territory pest-free from Xylella fastidiosa for the operative list version.,-,Director of the Central Plant Health Service,Effective ordinance and Annex I version; exact territory; applicable regional demarcated-area exception; annual official survey evidence and later revision where any.,"[""EU-2020-1201:2(1)"",""EU-2020-1201:2(2)"",""EU-2020-1201:2(3)"",""EU-2020-1201:2(4)""]",DETERMINISTIC_RULE,NO,-,-,Pest-free status is versioned national authority. It is not inferred from absence of a positive row and does not erase exact demarcated-area exceptions. [PRESERVED_PRE_MIGRATION_DETAIL: scope=IMPLEMENTATION; semantic=NATIONAL_PEST_FREE_STATUS_DECLARATION]
IT-CFN-ORD-3-2023:Art.1(2):maintain-pest-free-status:v1,IT-CFN-ORD-3-2023,IT-CFN-ORD-3-2023:Art.1(2):maintain-pest-free-status,2023-07-22,,Central Plant Health Service Ordinance 3/2023,https://www.gazzettaufficiale.it/atto/serie_generale/caricaArticolo?art.codiceRedazionale=23A04106&art.dataPubblicazioneGazzetta=2023-07-21&art.flagTipoArticolo=0&art.idArticolo=1&art.idGruppo=0&art.idSottoArticolo=1&art.idSottoArticolo1=10&art.progressivo=0&art.versione=1,9db60fce50fefebb0cc9fdca06804c0e308d8ed81b8c68c105b51780177e5da7,2023-07-21,INITIAL,INITIAL,Regional plant-health service,shall,Apply Regulation 2020/1201 requirements needed to maintain the pest-free status of that territorial portion.,"Where the exact territory is inside an operative demarcated-area exception, this pest-free maintenance route does not describe that subzone. Missing survey evidence does not establish maintenance.",Regional plant-health service,"Operative Annex I list; exact territorial portion and demarcated-area exceptions; applicable annual survey design, execution, results and status reporting.","[""EU-2020-1201:2(1)"",""EU-2020-1201:2(2)"",""EU-2020-1201:2(3)"",""EU-2020-1201:2(4)""]",DETERMINISTIC_RULE,NO,-,-,The duty is continuing surveillance and maintenance. It does not convert missing observations into legal absence. [PRESERVED_PRE_MIGRATION_DETAIL: scope=IMPLEMENTATION; semantic=REGIONAL_PEST_FREE_STATUS_MAINTENANCE]
IT-CFN-ORD-3-2023:Art.1(3):annual-list-revision:v1,IT-CFN-ORD-3-2023,IT-CFN-ORD-3-2023:Art.1(3):annual-list-revision,2023-07-22,,Central Plant Health Service Ordinance 3/2023,https://www.gazzettaufficiale.it/atto/serie_generale/caricaArticolo?art.codiceRedazionale=23A04106&art.dataPubblicazioneGazzetta=2023-07-21&art.flagTipoArticolo=0&art.idArticolo=1&art.idGruppo=0&art.idSottoArticolo=1&art.idSottoArticolo1=10&art.progressivo=0&art.versione=1,9db60fce50fefebb0cc9fdca06804c0e308d8ed81b8c68c105b51780177e5da7,2023-07-21,INITIAL,INITIAL,Central Plant Health Service through the competent national ordinance route,shall,Review and revise the national pest-free-area list on the basis of the annual official survey results.,"Without annual official survey results, list revision remains unresolved. Survey results do not alter the legal list automatically.",Director of the Central Plant Health Service,Complete annual official survey results; current list and demarcated-area exceptions; National Plant Health Committee and central ordinance events required for the successor list version.,[],DETERMINISTIC_RULE,YES,NATIONAL_PEST_FREE_LIST_REVISION,-,Annual evidence informs a reserved national list decision. It does not change status without the competent successor act. [PRESERVED_PRE_MIGRATION_DETAIL: scope=IMPLEMENTATION; semantic=ANNUAL_EVIDENCE_BASED_LIST_REVISION]
IT-DLGS-19-2021:Art.10(1):establish-territorial-unit:v1,IT-DLGS-19-2021,IT-DLGS-19-2021:Art.10(1):establish-territorial-unit,2021-03-13,,D.lgs. 19/2021 effective 2021-03-13; held Article 10 text governs the admitted event horizon,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2021-02-02;19~art10!vig=2021-03-13,c778f4149c15f5b65848abffeeedccd7419f53da158a2ad77e6bf42309b5b0b4,2021-03-13,INITIAL,INITIAL,Regional plant-health services competent for the affected territory,shall,Establish a territorial phytosanitary emergency unit for that declared emergency.,"Without a valid emergency declaration affecting the territory, this establishment duty does not activate. Missing declaration-route or territorial evidence remains UNKNOWN.",Regional plant-health services competent for the affected territory,Valid emergency declaration and applicable statutory route; exact affected territory and competent regional services; territorial-unit constitutive act and membership.,[],DETERMINISTIC_RULE,YES,TERRITORIAL_UNIT_ESTABLISHMENT,Article 10(1) describes emergencies as declared by the National Plant Health Committee; Article 31(6) assigns declaration to the Central Plant Health Service on the basis of committee action-plan approval,The unit is established after a valid emergency declaration under the applicable route. The unresolved actor wording is preserved rather than silently assigned to the Committee. The unit is not a standing substitute for the Regional Plant Health Service.
IT-DLGS-19-2021:Art.10(1):implement-plan-and-ordinances:v1,IT-DLGS-19-2021,IT-DLGS-19-2021:Art.10(1):implement-plan-and-ordinances,2021-03-13,,D.lgs. 19/2021 effective 2021-03-13; held Article 10 text governs the admitted event horizon,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2021-02-02;19~art10!vig=2021-03-13,c778f4149c15f5b65848abffeeedccd7419f53da158a2ad77e6bf42309b5b0b4,2021-03-13,INITIAL,INITIAL,Territorial phytosanitary emergency unit,shall,Implement the applicable action plan and central ordinances through the existing legal orders and competences of the participating actors.,"Without an established unit and an applicable plan or ordinance, this implementation duty does not activate. Missing instrument or competence evidence remains UNKNOWN.",-,Territorial-unit constitutive act; effective adopted action plan or central ordinance; exact participant competence; assigned implementation and completion evidence.,[],DETERMINISTIC_RULE,NO,-,-,The unit coordinates and implements within participant competences. It creates no new substantive power and does not transfer reserved decisions.
IT-DLGS-19-2021:Art.10(3)(a):v1,IT-DLGS-19-2021,IT-DLGS-19-2021:Art.10(3)(a),2021-03-13,,D.lgs. 19/2021 effective 2021-03-13; held Article 10 text governs the admitted event horizon,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2021-02-02;19~art10!vig=2021-03-13,c778f4149c15f5b65848abffeeedccd7419f53da158a2ad77e6bf42309b5b0b4,2021-03-13,INITIAL,INITIAL,Territorial phytosanitary emergency unit,shall,Implement the plant-health measures provided by the applicable action plan within the territorial unit’s lawful participant competences.,"Without the committee request and applicable action-plan measures, this implementation duty does not activate. Missing request or plan evidence remains UNKNOWN.",-,"Committee request; established territorial unit; effective action plan; exact measures, participant competences, assignments and implementation records.",[],DETERMINISTIC_RULE,NO,-,-,Implementation does not create the underlying measure or change any participant’s legal competence.
IT-DLGS-19-2021:Art.10(3)(c):v1,IT-DLGS-19-2021,IT-DLGS-19-2021:Art.10(3)(c),2021-03-13,,D.lgs. 19/2021 effective 2021-03-13; held Article 10 text governs the admitted event horizon,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2021-02-02;19~art10!vig=2021-03-13,c778f4149c15f5b65848abffeeedccd7419f53da158a2ad77e6bf42309b5b0b4,2021-03-13,INITIAL,INITIAL,Territorial phytosanitary emergency unit,-,Allocates territorial checks on performance of action-plan plant-health measures to the territorial emergency unit.,-,-,Established territorial unit; effective action plan; exact measure and expected performer; verification evidence and findings.,[],DETERMINISTIC_RULE,NO,-,-,"Verification evidence does not itself prove recipient breach, authorize substitute execution or impose a sanction."
IT-DLGS-19-2021:Art.10(4):v1,IT-DLGS-19-2021,IT-DLGS-19-2021:Art.10(4),2021-03-13,,D.lgs. 19/2021 effective 2021-03-13; held Article 10 text governs the admitted event horizon,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2021-02-02;19~art10!vig=2021-03-13,c778f4149c15f5b65848abffeeedccd7419f53da158a2ad77e6bf42309b5b0b4,2021-03-13,INITIAL,INITIAL,Territorial phytosanitary emergency unit,shall,Maintain constant information exchange with the national Phytosanitary Emergency Secretariat about the emergency’s evolution.,"Without the territorial unit’s emergency in progress, this emergency-specific exchange duty does not activate. Missing emergency-state evidence remains UNKNOWN.",-,Established territorial unit; active emergency identity and interval; exchanged information and receipt records.,[],DETERMINISTIC_RULE,NO,-,-,Information exchange informs coordination and review. It does not itself alter the operative legal state.
IT-DLGS-19-2021:Art.11(1):v1,IT-DLGS-19-2021,IT-DLGS-19-2021:Art.11(1),2021-03-13,,D.lgs. 19/2021 effective 2021-03-13; held Article 11 text governs the admitted event horizon,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2021-02-02;19~art11!vig=2021-03-13,d3fffcf48658f6cc7a555453b767c6381dbdb2ca579bd8a74fbf8b1bfcf3bc98,2021-03-13,INITIAL,INITIAL,Regions and autonomous provinces,shall,"Establish and regulate the Regional Plant Health Service, ensure territorial plant-protection activities and maintain the applicable Regulation 2017/625 Article 5 requirements.",-,Regions and autonomous provinces,"Effective Article 11 provision; regional organizational law and acts; service identity, competence, structure and continuing Regulation 2017/625 qualification evidence.",[],DETERMINISTIC_RULE,YES,REGIONAL_SERVICE_ORGANIZATION,-,"Regional organizational autonomy does not authorize omission or reassignment of the service’s statutory territorial responsibilities. Terminal framework citations for this proposition: EU-2017-625:Art.5. The retained national text fully states the in-scope actor, trigger and effect; no separate Stage A branch is imported."
IT-DLGS-19-2021:Art.11(1)(b):v1,IT-DLGS-19-2021,IT-DLGS-19-2021:Art.11(1)(b),2021-03-13,,D.lgs. 19/2021 effective 2021-03-13; held Article 11 text governs the admitted event horizon,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2021-02-02;19~art11!vig=2021-03-13,d3fffcf48658f6cc7a555453b767c6381dbdb2ca579bd8a74fbf8b1bfcf3bc98,2021-03-13,INITIAL,INITIAL,Regions and autonomous provinces,shall,"Adopt procedures and organizational arrangements for technical, operational and administrative actions that ensure immediate operational response to Chapter VI plant-health emergencies.",-,Regions and autonomous provinces,"Regional emergency-response procedures and organizational acts; competent service roles; technical, operational and administrative readiness evidence.",[],DETERMINISTIC_RULE,YES,REGIONAL_EMERGENCY_ORGANIZATION,-,This is an organizational readiness duty. It does not itself declare an emergency or activate a specific measure.
IT-DLGS-19-2021:Art.11(2):v1,IT-DLGS-19-2021,IT-DLGS-19-2021:Art.11(2),2021-03-13,,D.lgs. 19/2021 effective 2021-03-13; held Article 11 text governs the admitted event horizon,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2021-02-02;19~art11!vig=2021-03-13,d3fffcf48658f6cc7a555453b767c6381dbdb2ca579bd8a74fbf8b1bfcf3bc98,2021-03-13,INITIAL,INITIAL,Regions and autonomous provinces,shall,Guarantee the resources necessary to implement the plant-health measures within resources available under current legislation.,"Without an Article 3 implementation requirement, this measure-specific resource duty does not activate. Missing need or availability evidence remains UNKNOWN.",Regions and autonomous provinces,Applicable plant-health measures; implementation workload and resource need; resources legally available; regional allocation and deployment evidence.,[],DETERMINISTIC_RULE,YES,RESOURCE_ALLOCATION_WITHIN_LEGAL_AVAILABILITY,-,The clause requires resource provision within the statutory availability boundary. It does not create an aid entitlement or permit nonimplementation of an active measure by inference.
IT-DLGS-19-2021:Art.13(1):corresponding-reference-laboratory:v1,IT-DLGS-19-2021,IT-DLGS-19-2021:Art.13(1):corresponding-reference-laboratory,2021-03-13,,D.lgs. 19/2021 effective 2021-03-13; held Article 13 text governs the admitted event horizon,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2021-02-02;19~art13!vig=2021-03-13,cb1ce8d01d0392877a9da445c5ee8c5ef36740f85b4a65a45468792bb02d4889,2021-03-13,INITIAL,INITIAL,Minister responsible for agriculture,shall,Designate one or more corresponding national reference laboratories by ministerial decree.,"Without a corresponding EU reference laboratory, this mandatory corresponding-designation route does not activate. The separate unmatched-designation route may remain available.",Minister responsible for agriculture,Effective EU reference-laboratory designation; qualifying national laboratory identity and scope; ministerial designation decree; continuing qualification.,"[""EU-2017-625:Art.93(1):eu-reference-laboratory-designation"",""EU-2017-625:Art.100:national-reference-laboratory-status""]",DETERMINISTIC_RULE,YES,MINISTERIAL_REFERENCE_LABORATORY_DESIGNATION,-,The statutory route allocates designation authority. Technical capability without the ministerial designation does not establish national-reference status.
IT-DLGS-19-2021:Art.13(1):unmatched-reference-laboratory:v1,IT-DLGS-19-2021,IT-DLGS-19-2021:Art.13(1):unmatched-reference-laboratory,2021-03-13,,D.lgs. 19/2021 effective 2021-03-13; held Article 13 text governs the admitted event horizon,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2021-02-02;19~art13!vig=2021-03-13,cb1ce8d01d0392877a9da445c5ee8c5ef36740f85b4a65a45468792bb02d4889,2021-03-13,INITIAL,INITIAL,Minister responsible for agriculture,may,Designate a national reference laboratory by ministerial decree despite the absence of a corresponding EU reference laboratory.,"Where a corresponding EU reference laboratory exists, this unmatched route does not apply; the corresponding-designation route governs. Missing correspondence or qualification evidence remains UNKNOWN.",Minister responsible for agriculture,Evidence that no corresponding EU reference laboratory exists; qualifying laboratory identity and scope; ministerial designation decree; continuing qualification.,"[""EU-2017-625:Art.100:national-reference-laboratory-status""]",DETERMINISTIC_RULE,YES,MINISTERIAL_UNMATCHED_REFERENCE_LABORATORY_DESIGNATION,-,"This route does not allow a plan, regional act or scientific practice to substitute for the ministerial designation."
IT-DLGS-19-2021:Art.13(2):v1,IT-DLGS-19-2021,IT-DLGS-19-2021:Art.13(2),2021-03-13,,D.lgs. 19/2021 effective 2021-03-13; held Article 13 text governs the admitted event horizon,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2021-02-02;19~art13!vig=2021-03-13,cb1ce8d01d0392877a9da445c5ee8c5ef36740f85b4a65a45468792bb02d4889,2021-03-13,INITIAL,INITIAL,Minister responsible for agriculture,shall,Verify and require compliance with Regulation 2017/625 Article 100(3) as a constitutive condition of the designation.,"Without an undertaking to designate a national reference laboratory, this designation-process requirement does not activate. Missing qualification evidence leaves designation unresolved.",Minister responsible for agriculture,Proposed laboratory identity and exact competence; Regulation 2017/625 Article 100(3) qualification evidence; ministerial designation record.,"[""EU-2017-625:Art.100:national-reference-laboratory-status""]",DETERMINISTIC_RULE,YES,REFERENCE_LABORATORY_QUALIFICATION,-,Qualification is part of valid designation. It is not a post-designation administrative check and cannot be inferred from technical reputation.
IT-DLGS-19-2021:Art.13(4):v1,IT-DLGS-19-2021,IT-DLGS-19-2021:Art.13(4),2021-03-13,,D.lgs. 19/2021 effective 2021-03-13; held Article 13 text governs the admitted event horizon,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2021-02-02;19~art13!vig=2021-03-13,cb1ce8d01d0392877a9da445c5ee8c5ef36740f85b4a65a45468792bb02d4889,2021-03-13,INITIAL,INITIAL,Minister responsible for agriculture,shall,Revoke the national reference laboratory designation after obtaining the National Plant Health Committee opinion.,"If continuing qualification and required activities remain satisfied, this revocation route does not activate. Missing qualification or performance evidence remains UNKNOWN.",Minister responsible for agriculture,Current designation and scope; evidence of lost Article 13(2) requirements or failed Article 13(5) activities; National Plant Health Committee opinion; ministerial revocation act.,[],DETERMINISTIC_RULE,YES,REFERENCE_LABORATORY_REVOCATION,-,"The deficiency or failed activity activates the revocation duty. Committee opinion is required completion evidence before revocation, not an antecedent that makes the deficiency false when absent."
